frequency,raw
10555.91,-5.48
10661.46,-5.55
10768.08,-5.62
10875.76,-5.68
10984.52,-5.75
11094.36,-5.81
11205.31,-5.89
11317.36,-5.96
11430.53,-6.04
11544.84,-6.07
11660.29,-6.10
11776.89,-6.12
11894.66,-6.12
12013.60,-6.12
12133.74,-6.12
12255.08,-6.07
12377.63,-6.03
12501.41,-6.01
12626.42,-6.06
12752.68,-6.10
12880.21,-6.15
13009.01,-6.23
13139.10,-6.31
13270.49,-6.40
13403.20,-6.52
13537.23,-6.64
13672.60,-6.78
13809.33,-6.93
13947.42,-7.09
14086.90,-7.26
14227.77,-7.44
14370.04,-7.62
14513.74,-7.88
14658.88,-8.16
14805.47,-8.44
14953.52,-8.73
15103.06,-9.06
15254.09,-9.44
15406.63,-9.82
15560.70,-10.20
15716.30,-10.58
15873.47,-10.97
16032.20,-11.27
16192.52,-11.55
16354.45,-11.80
16517.99,-11.97
16683.17,-12.13
16850.01,-12.31
17018.51,-12.49
17188.69,-12.67
17360.58,-12.91
17534.18,-13.22
17709.53,-13.53
17886.62,-13.91
18065.49,-14.30
18246.14,-14.68
18428.60,-15.03
18612.89,-15.32
18799.02,-15.60
18987.01,-15.71
19176.88,-15.79
19368.65,-15.87
19562.33,-15.94
19757.96,-16.02
19955.54,-16.10
